"","date","cases"
"1",2020-03-01,0
"2",2020-03-02,0
"3",2020-03-03,0
"4",2020-03-04,0
"5",2020-03-05,0
"6",2020-03-06,0
"7",2020-03-07,0
"8",2020-03-08,0
"9",2020-03-09,0
"10",2020-03-10,1
"11",2020-03-11,0
"12",2020-03-12,0
"13",2020-03-13,1
"14",2020-03-14,3
"15",2020-03-15,3
"16",2020-03-16,5
"17",2020-03-17,2
"18",2020-03-18,7
"19",2020-03-19,8
"20",2020-03-20,5
"21",2020-03-21,2
"22",2020-03-22,5
"23",2020-03-23,1
"24",2020-03-24,3
"25",2020-03-25,5
"26",2020-03-26,5
"27",2020-03-27,3
"28",2020-03-28,6
"29",2020-03-29,0
"30",2020-03-30,1
"31",2020-03-31,5
"32",2020-04-01,0
"33",2020-04-02,2
"34",2020-04-03,3
"35",2020-04-04,3
"36",2020-04-05,0
"37",2020-04-06,0
"38",2020-04-07,2
"39",2020-04-08,1
"40",2020-04-09,2
"41",2020-04-10,0
"42",2020-04-11,2
"43",2020-04-12,1
"44",2020-04-13,2
"45",2020-04-14,3
"46",2020-04-15,2
"47",2020-04-16,0
"48",2020-04-17,3
"49",2020-04-18,4
"50",2020-04-19,1
"51",2020-04-20,7
"52",2020-04-21,0
"53",2020-04-22,2
"54",2020-04-23,4
"55",2020-04-24,1
"56",2020-04-25,1
"57",2020-04-26,1
"58",2020-04-27,3
"59",2020-04-28,1
"60",2020-04-29,0
"61",2020-04-30,1
"62",2020-05-01,2
"63",2020-05-02,1
"64",2020-05-03,0
"65",2020-05-04,0
"66",2020-05-05,0
"67",2020-05-06,0
"68",2020-05-07,1
"69",2020-05-08,0
"70",2020-05-09,0
"71",2020-05-10,0
"72",2020-05-11,0
"73",2020-05-12,0
"74",2020-05-13,0
"75",2020-05-14,0
"76",2020-05-15,0
"77",2020-05-16,0
"78",2020-05-17,0
"79",2020-05-18,0
"80",2020-05-19,0
"81",2020-05-20,0
"82",2020-05-21,2
"83",2020-05-22,1
"84",2020-05-23,0
"85",2020-05-24,0
"86",2020-05-25,0
"87",2020-05-26,0
"88",2020-05-27,0
"89",2020-05-28,0
"90",2020-05-29,0
"91",2020-05-30,0
"92",2020-05-31,0
"93",2020-06-01,0
"94",2020-06-02,0
"95",2020-06-03,0
"96",2020-06-04,0
"97",2020-06-05,0
"98",2020-06-06,0
"99",2020-06-07,0
"100",2020-06-08,0
"101",2020-06-09,0
"102",2020-06-10,0
"103",2020-06-11,0
"104",2020-06-12,0
"105",2020-06-13,0
"106",2020-06-14,0
"107",2020-06-15,0
"108",2020-06-16,0
"109",2020-06-17,0
"110",2020-06-18,0
"111",2020-06-19,1
"112",2020-06-20,0
"113",2020-06-21,0
"114",2020-06-22,0
"115",2020-06-23,0
"116",2020-06-24,0
"117",2020-06-25,0
"118",2020-06-26,0
"119",2020-06-27,0
"120",2020-06-28,0
"121",2020-06-29,1
"122",2020-06-30,1
"123",2020-07-01,0
"124",2020-07-02,0
"125",2020-07-03,0
"126",2020-07-04,0
"127",2020-07-05,0
"128",2020-07-06,0
"129",2020-07-07,0
"130",2020-07-08,0
"131",2020-07-09,2
"132",2020-07-10,0
"133",2020-07-11,0
"134",2020-07-12,0
"135",2020-07-13,0
"136",2020-07-14,0
"137",2020-07-15,1
"138",2020-07-16,0
"139",2020-07-17,0
"140",2020-07-18,0
"141",2020-07-19,4
"142",2020-07-20,0
"143",2020-07-21,1
"144",2020-07-22,1
"145",2020-07-23,0
"146",2020-07-24,0
"147",2020-07-25,0
"148",2020-07-26,1
"149",2020-07-27,0
"150",2020-07-28,0
"151",2020-07-29,0
"152",2020-07-30,1
"153",2020-07-31,0
"154",2020-08-01,0
"155",2020-08-02,2
"156",2020-08-03,0
"157",2020-08-04,0
"158",2020-08-05,0
"159",2020-08-06,1
"160",2020-08-07,0
"161",2020-08-08,1
"162",2020-08-09,0
"163",2020-08-10,0
"164",2020-08-11,2
"165",2020-08-12,0
"166",2020-08-13,1
"167",2020-08-14,2
"168",2020-08-15,0
"169",2020-08-16,1
"170",2020-08-17,2
"171",2020-08-18,2
"172",2020-08-19,1
"173",2020-08-20,1
"174",2020-08-21,4
"175",2020-08-22,0
"176",2020-08-23,2
"177",2020-08-24,2
"178",2020-08-25,2
"179",2020-08-26,3
"180",2020-08-27,0
"181",2020-08-28,1
"182",2020-08-29,1
"183",2020-08-30,0
"184",2020-08-31,1
"185",2020-09-01,1
"186",2020-09-02,2
"187",2020-09-03,2
"188",2020-09-04,1
"189",2020-09-05,1
"190",2020-09-06,1
"191",2020-09-07,1
"192",2020-09-08,0
"193",2020-09-09,2
"194",2020-09-10,3
"195",2020-09-11,4
"196",2020-09-12,1
"197",2020-09-13,0
"198",2020-09-14,0
"199",2020-09-15,0
"200",2020-09-16,1
"201",2020-09-17,0
"202",2020-09-18,4
"203",2020-09-19,0
"204",2020-09-20,3
"205",2020-09-21,0
"206",2020-09-22,0
"207",2020-09-23,0
"208",2020-09-24,1
"209",2020-09-25,2
"210",2020-09-26,0
"211",2020-09-27,0
"212",2020-09-28,0
"213",2020-09-29,2
"214",2020-09-30,1
"215",2020-10-01,1
"216",2020-10-02,5
"217",2020-10-03,5
"218",2020-10-04,0
"219",2020-10-05,2
"220",2020-10-06,0
"221",2020-10-07,1
"222",2020-10-08,2
"223",2020-10-09,3
"224",2020-10-10,1
"225",2020-10-11,4
"226",2020-10-12,3
"227",2020-10-13,2
"228",2020-10-14,2
"229",2020-10-15,1
"230",2020-10-16,2
"231",2020-10-17,0
"232",2020-10-18,0
"233",2020-10-19,1
"234",2020-10-20,0
"235",2020-10-21,4
"236",2020-10-22,1
"237",2020-10-23,0
"238",2020-10-24,0
"239",2020-10-25,0
"240",2020-10-26,0
"241",2020-10-27,2
"242",2020-10-28,2
"243",2020-10-29,2
"244",2020-10-30,5
"245",2020-10-31,4
"246",2020-11-01,2
"247",2020-11-02,4
"248",2020-11-03,4
"249",2020-11-04,8
"250",2020-11-05,5
"251",2020-11-06,2
"252",2020-11-07,4
"253",2020-11-08,9
"254",2020-11-09,8
"255",2020-11-10,10
"256",2020-11-11,7
"257",2020-11-12,14
"258",2020-11-13,10
"259",2020-11-14,10
"260",2020-11-15,19
"261",2020-11-16,17
"262",2020-11-17,20
"263",2020-11-18,13
"264",2020-11-19,17
"265",2020-11-20,16
"266",2020-11-21,17
"267",2020-11-22,14
"268",2020-11-23,13
"269",2020-11-24,24
"270",2020-11-25,23
"271",2020-11-26,16
"272",2020-11-27,22
"273",2020-11-28,28
"274",2020-11-29,16
"275",2020-11-30,10
"276",2020-12-01,16
"277",2020-12-02,7
"278",2020-12-03,14
"279",2020-12-04,13
"280",2020-12-05,9
"281",2020-12-06,13
"282",2020-12-07,17
